2013-03-07 09:31:19 159ms | Event (core/after_page_processed) triggered.
2013-03-07 09:31:40 165ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:31:40 824ms | Event (core/after_page_processed) triggered.
2013-03-07 09:40:10 607ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:40:11 255ms | Event (core/after_page_processed) triggered.
2013-03-07 09:40:56 54ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:40:56 715ms | Event (core/after_page_processed) triggered.
2013-03-07 09:41:20 543ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:41:21 141ms | Event (core/after_page_processed) triggered.
2013-03-07 09:41:31 872ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:41:32 891ms | Event (core/after_page_processed) triggered.
2013-03-07 09:42:02 334ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:42:02 932ms | Event (core/after_page_processed) triggered.
2013-03-07 09:42:08 605ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:42:09 253ms | Event (core/after_page_processed) triggered.
2013-03-07 09:48:40 646ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:48:41 209ms | Event (core/after_page_processed) triggered.
2013-03-07 09:48:47 903ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:48:48 508ms | Event (core/after_page_processed) triggered.
2013-03-07 09:49:28 390ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:49:28 976ms | Event (core/after_page_processed) triggered.
2013-03-07 09:49:36 766ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:49:37 383ms | Event (core/after_page_processed) triggered.
2013-03-07 09:50:04 627ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:50:05 272ms | Event (core/after_page_processed) triggered.
2013-03-07 09:50:37 174ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:50:37 778ms | Event (core/after_page_processed) triggered.
2013-03-07 09:51:15 51ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:51:15 603ms | Event (core/after_page_processed) triggered.
2013-03-07 09:51:34 738ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:51:35 380ms | Event (core/after_page_processed) triggered.
2013-03-07 09:52:25 91ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:52:25 763ms | Event (core/after_page_processed) triggered.
2013-03-07 09:52:38 645ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:52:39 274ms | Event (core/after_page_processed) triggered.
2013-03-07 09:52:48 620ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:52:49 422ms | Event (core/after_page_processed) triggered.
2013-03-07 09:52:56 597ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:52:57 236ms | Event (core/after_page_processed) triggered.
2013-03-07 10:01:38 888ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:01:39 591ms | Event (core/after_page_processed) triggered.
2013-03-07 10:02:06 275ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:02:06 869ms | Event (core/after_page_processed) triggered.
2013-03-07 10:02:23 230ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:02:23 947ms | Event (core/after_page_processed) triggered.
2013-03-07 10:02:49 427ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:02:50 70ms | Event (core/after_page_processed) triggered.
2013-03-07 10:03:54 127ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:03:54 794ms | Event (core/after_page_processed) triggered.
2013-03-07 10:04:03 3ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:04:03 630ms | Event (core/after_page_processed) triggered.
2013-03-07 10:05:28 951ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:05:29 621ms | Event (core/after_page_processed) triggered.
2013-03-07 10:05:51 76ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:05:51 697ms | Event (core/after_page_processed) triggered.
2013-03-07 10:06:13 46ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:06:13 638ms | Event (core/after_page_processed) triggered.
2013-03-07 10:06:48 79ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:06:48 748ms | Event (core/after_page_processed) triggered.
2013-03-07 10:08:03 976ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:08:04 516ms | Event (core/after_page_processed) triggered.
2013-03-07 10:08:11 467ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:08:12 140ms | Event (core/after_page_processed) triggered.
2013-03-07 10:08:26 685ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:08:27 283ms | Event (core/after_page_processed) triggered.
2013-03-07 10:08:36 300ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:08:36 931ms | Event (core/after_page_processed) triggered.
2013-03-07 10:08:52 632ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:08:53 281ms | Event (core/after_page_processed) triggered.
2013-03-07 10:10:27 207ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:10:27 864ms | Event (core/after_page_processed) triggered.
2013-03-07 10:10:46 838ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:10:47 444ms | Event (core/after_page_processed) triggered.
2013-03-07 10:12:05 349ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:12:05 955ms | Event (core/after_page_processed) triggered.
2013-03-07 10:12:12 555ms | Event (core/after_facebook_initialization) triggered.
